SampleID	Sample_type	DNA_conc	Input_cells	Dilution	SourceSink
KitA-1-1-2	SAMPLE	11.01591931	1.00E+02	D7	Sink
KitA-1-1-3	SAMPLE	9.326771175	1.00E+03	D6	Sink
KitA-1-1-4	SAMPLE	12.2311338	1.00E+04	D5	Sink
KitA-1-1-5	SAMPLE	10.54806173	1.00E+05	D4	Sink
KitA-1-1-6	SAMPLE	11.83011301	1.00E+06	D3	Sink
KitA-1-1-7	SAMPLE	21.61866569	1.00E+07	D2	Sink
KitA-1-1-8	SAMPLE	32.26394459	1.00E+08	D1	Sink
KitA-1-1-9	SAMPLE	53.22639446	1.00E+09	D0	Sink
KitA-1-2-2	SAMPLE	10.83363714	1.00E+02	D7	Sink
KitA-1-2-3	SAMPLE	11.07060396	1.00E+03	D6	Sink
KitA-1-2-4	SAMPLE	11.07060396	1.00E+04	D5	Sink
KitA-1-2-5	SAMPLE	11.53238547	1.00E+05	D4	Sink
KitA-1-2-6	SAMPLE	13.06963179	1.00E+06	D3	Sink
KitA-1-2-7	SAMPLE	17.97909831	1.00E+07	D2	Sink
KitA-1-2-8	SAMPLE	32.32470531	1.00E+08	D1	Sink
KitA-1-2-9	SAMPLE	52.67954794	1.00E+09	D0	Sink
KitA-1-3-2	SAMPLE	10.88224572	1.00E+02	D7	Sink
KitA-1-3-4	SAMPLE	11.76935229	1.00E+04	D5	Sink
KitA-1-3-5	SAMPLE	12.85089318	1.00E+05	D4	Sink
KitA-1-3-6	SAMPLE	10.62705067	1.00E+06	D3	Sink
KitA-1-3-7	SAMPLE	17.365415	1.00E+07	D2	Sink
KitA-1-3-8	SAMPLE	34.81589501	1.00E+08	D1	Sink
KitA-1-3-9	SAMPLE	46.48195406	1.00E+09	D0	Sink
