asv_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
a1e2b28fb788c9542caf556c169bd434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
515ecf421a951bc274a7daaa791dc894	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_yeei_G1212_ATCC_BAA-599(NR029038)
6cba61242453f471b9c15fdcb5026986	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
22945a8897a69e181c49fe173357afa4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
10632594b60ae4615aae7cff00a1ab1d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Labrys	Labrys_monachus_VKM_B-1479(NR025581)
a4e67b9bc76b406c5803bc1115a265c3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	NA
c399690af99a1c262418ded35a3ec6ba	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_myrsinacearum_NBRC_100019(NR113874)
9f80555aa10d6449287fc6c13747633f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium_myrsinacearum_NBRC_100019(NR113874)
1f1f94e2c39cd0e579eee31d65aea2cc	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
fa9ed33ad68493030adb1088fa3002f3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Labrys	Labrys_monachus_VKM_B-1479(NR025581)
8b776aee914dfda17962950faac41b41	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
672f8669b779aac0f82dde2176d24772	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_leidyi_ATCC_15260(NR025324)
e0ac8c83c67c23b62496f045f2699552	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	NA
10b587c79cce374aed733f79d1a50652	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	Labilithrix_luteola_B00002(NR126182)
4bc24278f06a247de30ee28700e420e6	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	Labilithrix_luteola_B00002(NR126182)
e8849b7137e82a4e63059c4e7268ff01	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum	Triticum_aestivum(AP013053)
e081418fea7c571d983673958bad7f0e	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_echinoides_DSM_1805(NR114697)
6859a8d53d59d2aa7193210fc46505c7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_echinoides_DSM_1805(NR114697)
46d91d6b03e3affa57547751a0e08b9f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
9d73e3d26817b6df6e826b55972bd883	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_cerastii_C15(NR117118)
6c21129697cf5ff63c00f1015369f55a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	NA
7183dace16149785b6e554abb623131c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
f58acbe140ddb4de8b917ce42a8800d7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_persicinum_002-165(NR041442)
b7da7f8eeca4712a739c4e8a6bdfa5c1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_persicinum_002-165(NR041442)
ce2cd3a4c5f71850c971505e5aea514b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_persicinum_002-165(NR041442)
50506d79cbf8da55e9b973a4acc815da	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_radiotolerans_JCM_2831_JCM_2831(NR074244)
46f146bb6d5237813ceb53531f541088	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	NA
6231b9a2e29ca0c1bc6d7522f95b8a52	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	NA	NA
ed85b271168f923099279d2e666d2d5b	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
2cce0f7944a0c4c2ba4a9a42f773cf7a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	NA
56a53f5d34da64dba778411e94141b24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
e65851a046605a6933f4dae2c621e907	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	NA
9415c3f4daf7dcd5b1283f4503a46395	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rudaea	Rudaea_cellulosilytica_KIS3-4(NR044566)
f2f69fe46f5144c2a9014986ce390ed4	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA
4303173cdcd916067bdb3f2abda3237e	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas_koreensis_T7-09(NR042972)
fdccaa414655bad46abe3e0f20522e75	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter_insolitus_LMG_6003(NR025685)
6bc0f96b12f6a72b35422900dd3888af	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes_faecalis_NBRC_13111(NR113606)
b660ec55c7c702c090e79d6712eeb0d0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	NA
8520abd9d384b7243874750ec6df54e0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
69a5f1e5f26e79fbd15404de7b82157b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella_sonnei_CECT_4887(NR104826)
21bf2684ff64094a84b7c3e00d896db1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
a371bfb828c4f6e1dbc03f521ae93c47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_fergusonii_ATCC_35469_ATCC_35469(NR074902)
31edd9613dc36628a5a55028e23eaa6a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	NA
2a678ac3728bdb8cccf02ef501477f3f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
bbc4edcbda3181bfd8621ddd50cb23dc	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	NA
36bc1d7e99f0b0c3f1dfc07612177436	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
7309f45816dbb68ee38b261116e4736b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
add6cd3b4bd6a14e92a22940b85d131a	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_mosselii_CFML_90-83(NR024924)
